source, destination, distance
308751, 588339, 2
308751, 610028, 3
308751, 680927, 2
308751, 684347, 3
308751, 713382, 2
308751, 715009, 3
308751, 791075, 2
308751, 844661, 3
308751, 910003, 2
324462, 123, 2
324462, 24004, 1
324462, 29788, 3
324462, 100071, 3
324462, 105881, 2
324462, 115839, 3
324462, 157662, 2
324462, 193044, 2
324462, 194644, 2
324462, 216892, 1
324462, 226940, 3
324462, 250065, 2
324462, 278055, 2
324462, 308751, 2
324462, 324462, 0
324462, 355012, 3
324462, 358988, 2
324462, 379951, 1
324462, 384065, 3
324462, 397035, 2
324462, 414522, 2
324462, 446014, 3
324462, 488690, 2
324462, 497479, 3
324462, 572693, 3
324462, 588339, 2
324462, 610028, 3
324462, 680927, 2
324462, 684347, 3
324462, 713382, 2
324462, 715009, 3
324462, 791075, 2
324462, 844661, 3
324462, 910003, 2
355012, 123, Infinity
355012, 24004, Infinity
355012, 29788, Infinity
355012, 100071, Infinity
355012, 105881, Infinity
355012, 115839, Infinity
355012, 157662, Infinity
355012, 193044, Infinity
355012, 194644, Infinity
355012, 216892, Infinity
355012, 226940, Infinity
355012, 250065, Infinity
355012, 278055, Infinity
355012, 308751, Infinity
355012, 324462, Infinity
355012, 355012, 0
355012, 358988, Infinity
355012, 379951, Infinity
355012, 384065, Infinity
355012, 397035, Infinity
355012, 414522, Infinity
355012, 446014, Infinity
355012, 488690, Infinity
355012, 497479, Infinity
355012, 572693, Infinity
355012, 588339, Infinity
355012, 610028, Infinity
355012, 680927, Infinity
355012, 684347, Infinity
355012, 713382, Infinity
355012, 715009, Infinity
355012, 791075, Infinity
355012, 844661, Infinity
355012, 910003, Infinity
358988, 123, 1
358988, 24004, 1
358988, 29788, 3
358988, 100071, 3
358988, 105881, 2
358988, 115839, 3
358988, 157662, 2
358988, 193044, 2
358988, 194644, 2
358988, 216892, 2
358988, 226940, 3
358988, 250065, 2
358988, 278055, 2
358988, 308751, 2
358988, 324462, 2
358988, 355012, 3
358988, 358988, 0
358988, 379951, 2
358988, 384065, 3
358988, 397035, 2
358988, 414522, 2
358988, 446014, 3
358988, 488690, 2
358988, 497479, 3
358988, 572693, 3
358988, 588339, 2
358988, 610028, 3
358988, 680927, 2
358988, 684347, 3
358988, 713382, 2
358988, 715009, 3
358988, 791075, 2
358988, 844661, 3
358988, 910003, 2
379951, 123, 2
379951, 24004, 1
379951, 29788, 3
379951, 100071, 3
379951, 105881, 2
379951, 115839, 3
379951, 157662, 2
379951, 193044, 2
379951, 194644, 2
379951, 216892, 2
379951, 226940, 3
379951, 250065, 2
379951, 278055, 2
379951, 308751, 2
379951, 324462, 2
379951, 355012, 3
379951, 358988, 2
379951, 379951, 0
379951, 384065, 3
379951, 397035, 2
379951, 414522, 2
379951, 446014, 3
379951, 488690, 2
379951, 497479, 3
379951, 572693, 3
379951, 588339, 2
379951, 610028, 3
379951, 680927, 2
379951, 684347, 3
379951, 713382, 2
379951, 715009, 3
379951, 791075, 2
379951, 844661, 3
379951, 910003, 2
384065, 123, Infinity
384065, 24004, Infinity
384065, 29788, Infinity
384065, 100071, Infinity
384065, 105881, Infinity
384065, 115839, Infinity
384065, 157662, Infinity
384065, 193044, Infinity
384065, 194644, Infinity
384065, 216892, Infinity
384065, 226940, Infinity
384065, 250065, Infinity
384065, 278055, Infinity
384065, 308751, Infinity
384065, 324462, Infinity
384065, 355012, Infinity
384065, 358988, Infinity
384065, 379951, Infinity
384065, 384065, 0
384065, 397035, Infinity
384065, 414522, Infinity
384065, 446014, Infinity
384065, 488690, Infinity
384065, 497479, Infinity
384065, 572693, Infinity
384065, 588339, Infinity
384065, 610028, Infinity
384065, 680927, Infinity
384065, 684347, Infinity
384065, 713382, Infinity
384065, 715009, Infinity
384065, 791075, Infinity
384065, 844661, Infinity
384065, 910003, Infinity
397035, 123, 2
397035, 24004, 1
397035, 29788, 3
397035, 100071, 3
397035, 105881, 2
397035, 115839, 3
397035, 157662, 2
397035, 193044, 2
397035, 194644, 2
397035, 216892, 2
397035, 226940, 3
397035, 250065, 2
397035, 278055, 2
397035, 308751, 2
397035, 324462, 2
397035, 355012, 3
397035, 358988, 2
397035, 379951, 2
397035, 384065, 3
397035, 397035, 0
397035, 414522, 2
397035, 446014, 3
397035, 488690, 2
397035, 497479, 3
397035, 572693, 3
397035, 588339, 2
397035, 610028, 3
397035, 680927, 2
397035, 684347, 3
397035, 713382, 2
397035, 715009, 3
397035, 791075, 2
397035, 844661, 3
397035, 910003, 1
414522, 123, 2
414522, 24004, 1
414522, 29788, 3
414522, 100071, 3
414522, 105881, 2
414522, 115839, 3
414522, 157662, 2
414522, 193044, 2
414522, 194644, 2
414522, 216892, 2
414522, 226940, 3
414522, 250065, 2
414522, 278055, 2
414522, 308751, 2
414522, 324462, 2
414522, 355012, 3
414522, 358988, 2
414522, 379951, 1
414522, 384065, 3
414522, 397035, 2
414522, 414522, 0
414522, 446014, 3
414522, 488690, 1
414522, 497479, 3
414522, 572693, 3
414522, 588339, 1
414522, 610028, 3
414522, 680927, 2
414522, 684347, 3
414522, 713382, 1
414522, 715009, 3
414522, 791075, 2
414522, 844661, 3
414522, 910003, 2
446014, 123, Infinity
446014, 24004, Infinity
446014, 29788, Infinity
446014, 100071, Infinity
446014, 105881, Infinity
446014, 115839, Infinity
446014, 157662, Infinity
446014, 193044, Infinity
446014, 194644, Infinity
446014, 216892, Infinity
446014, 226940, Infinity
446014, 250065, Infinity
446014, 278055, Infinity
446014, 308751, Infinity
446014, 324462, Infinity
446014, 355012, Infinity
446014, 358988, Infinity
446014, 379951, Infinity
446014, 384065, Infinity
446014, 397035, Infinity
446014, 414522, Infinity
446014, 446014, 0
446014, 488690, Infinity
446014, 497479, Infinity
446014, 572693, Infinity
446014, 588339, Infinity
446014, 610028, Infinity
446014, 680927, Infinity
446014, 684347, Infinity
446014, 713382, Infinity
446014, 715009, Infinity
446014, 791075, Infinity
446014, 844661, Infinity
446014, 910003, Infinity
488690, 123, 2
488690, 24004, 1
488690, 29788, 3
488690, 100071, 3
488690, 105881, 2
488690, 115839, 3
488690, 157662, 2
488690, 193044, 2
488690, 194644, 2
488690, 216892, 2
488690, 226940, 3
488690, 250065, 2
488690, 278055, 2
488690, 308751, 2
488690, 324462, 2
488690, 355012, 3
488690, 358988, 2
488690, 379951, 2
488690, 384065, 3
488690, 397035, 2
488690, 414522, 2
488690, 446014, 3
488690, 488690, 0
488690, 497479, 3
488690, 572693, 3
488690, 588339, 2
488690, 610028, 3
488690, 680927, 2
488690, 684347, 3
488690, 713382, 2
488690, 715009, 3
488690, 791075, 2
488690, 844661, 3
488690, 910003, 2
497479, 123, Infinity
497479, 24004, Infinity
497479, 29788, Infinity
497479, 100071, Infinity
497479, 105881, Infinity
497479, 115839, Infinity
497479, 157662, Infinity
497479, 193044, Infinity
497479, 194644, Infinity
497479, 216892, Infinity
497479, 226940, Infinity
497479, 250065, Infinity
497479, 278055, Infinity
497479, 308751, Infinity
497479, 324462, Infinity
497479, 355012, Infinity
497479, 358988, Infinity
497479, 379951, Infinity
497479, 384065, Infinity
497479, 397035, Infinity
497479, 414522, Infinity
497479, 446014, Infinity
497479, 488690, Infinity
497479, 497479, 0
497479, 572693, Infinity
497479, 588339, Infinity
497479, 610028, Infinity
497479, 680927, Infinity
497479, 684347, Infinity
497479, 713382, Infinity
497479, 715009, Infinity
497479, 791075, Infinity
497479, 844661, Infinity
497479, 910003, Infinity
572693, 123, Infinity
572693, 24004, Infinity
572693, 29788, Infinity
572693, 100071, Infinity
572693, 105881, Infinity
572693, 115839, Infinity
572693, 157662, Infinity
572693, 193044, Infinity
572693, 194644, Infinity
572693, 216892, Infinity
572693, 226940, Infinity
572693, 250065, Infinity
572693, 278055, Infinity
572693, 308751, Infinity
572693, 324462, Infinity
572693, 355012, Infinity
572693, 358988, Infinity
572693, 379951, Infinity
572693, 384065, Infinity
572693, 397035, Infinity
572693, 414522, Infinity
572693, 446014, Infinity
572693, 488690, Infinity
572693, 497479, Infinity
572693, 572693, 0
572693, 588339, Infinity
572693, 610028, Infinity
572693, 680927, Infinity
572693, 684347, Infinity
572693, 713382, Infinity
572693, 715009, Infinity
572693, 791075, Infinity
572693, 844661, Infinity
572693, 910003, Infinity
588339, 123, 2
588339, 24004, 1
588339, 29788, 3
588339, 100071, 3
588339, 105881, 2
588339, 115839, 3
588339, 157662, 2
588339, 193044, 2
588339, 194644, 2
588339, 216892, 2
588339, 226940, 3
588339, 250065, 2
588339, 278055, 2
588339, 308751, 2
588339, 324462, 2
588339, 355012, 3
588339, 358988, 2
588339, 379951, 2
588339, 384065, 3
588339, 397035, 2
588339, 414522, 2
588339, 446014, 3
588339, 488690, 2
588339, 497479, 3
588339, 572693, 3
588339, 588339, 0
588339, 610028, 3
588339, 680927, 2
588339, 684347, 3
588339, 713382, 2
588339, 715009, 3
588339, 791075, 2
588339, 844661, 3
588339, 910003, 2
610028, 123, Infinity
610028, 24004, Infinity
610028, 29788, Infinity
610028, 100071, Infinity
610028, 105881, Infinity
610028, 115839, Infinity
610028, 157662, Infinity
610028, 193044, Infinity
